dt,weather,visibility,pop,dt_txt,main.temp,main.feels_like,main.temp_min,main.temp_max,main.pressure,main.sea_level,main.grnd_level,main.humidity,clouds.all,wind.speed,wind.deg,wind.gust,sys.pod,rain.3h
1636092000,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",10000,0.0,2021-11-05 06:00:00,279.84,277.77,279.84,283.18,1015,1015,1015,94,0,2.88,6,3.11,d,
1636102800,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",10000,0.0,2021-11-05 09:00:00,281.61,279.39,281.61,285.15,1016,1016,1018,83,33,3.74,11,4.56,d,
1636113600,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",10000,0.0,2021-11-05 12:00:00,284.98,283.94,284.98,287.55,1018,1018,1018,66,67,2.68,19,3.42,d,
1636124400,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",10000,0.0,2021-11-05 15:00:00,287.6,286.62,287.6,287.6,1019,1019,1019,58,100,2.37,29,3.46,d,
1636135200,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",10000,0.0,2021-11-05 18:00:00,286.02,285.14,286.02,286.02,1021,1021,1020,68,100,4.68,59,6.34,n,
1636146000,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",10000,0.0,2021-11-05 21:00:00,284.9,283.93,284.9,284.9,1023,1023,1022,69,100,6.46,52,10.6,n,
1636156800,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",10000,0.0,2021-11-06 00:00:00,283.57,282.57,283.57,283.57,1024,1024,1023,73,95,7.12,41,11.78,n,
1636167600,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",10000,0.0,2021-11-06 03:00:00,282.66,279.54,282.66,282.66,1024,1024,1024,68,57,6.73,43,11.05,n,
1636178400,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",10000,0.02,2021-11-06 06:00:00,282.42,279.15,282.42,282.42,1025,1025,1024,62,79,6.99,37,12.94,d,
1636189200,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",10000,0.0,2021-11-06 09:00:00,284.61,283.3,284.61,284.61,1026,1026,1026,57,100,7.68,49,12.77,d,
1636200000,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",10000,0.0,2021-11-06 12:00:00,287.25,286.07,287.25,287.25,1025,1025,1024,52,82,7.95,61,10.06,d,
1636210800,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",10000,0.0,2021-11-06 15:00:00,286.81,285.69,286.81,286.81,1023,1023,1023,56,40,5.58,52,7.86,d,
1636221600,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",10000,0.0,2021-11-06 18:00:00,285.05,283.89,285.05,285.05,1024,1024,1023,61,63,4.96,44,7.08,n,
1636232400,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",10000,0.0,2021-11-06 21:00:00,284.83,283.72,284.83,284.83,1023,1023,1022,64,100,5.54,51,8.2,n,
1636243200,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",10000,0.38,2021-11-07 00:00:00,283.97,282.88,283.97,283.97,1023,1023,1022,68,100,3.1,48,4.22,n,0.2
1636254000,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",10000,0.66,2021-11-07 03:00:00,283.05,281.92,283.05,283.05,1022,1022,1021,75,100,2.41,33,4.1,n,1.24
1636264800,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",10000,0.62,2021-11-07 06:00:00,283.28,282.28,283.28,283.28,1021,1021,1020,74,100,2.49,5,3.29,d,0.52
1636275600,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",10000,0.0,2021-11-07 09:00:00,284.27,283.11,284.27,284.27,1021,1021,1020,64,99,2.09,355,2.54,d,
1636286400,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",10000,0.0,2021-11-07 12:00:00,286.51,285.31,286.51,286.51,1019,1019,1018,54,90,2.43,316,2.46,d,
1636297200,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",10000,0.0,2021-11-07 15:00:00,286.8,285.68,286.8,286.8,1017,1017,1017,56,84,1.0,319,1.16,d,
1636308000,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",10000,0.0,2021-11-07 18:00:00,286.3,285.21,286.3,286.3,1017,1017,1017,59,92,1.86,304,1.97,n,
1636318800,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",10000,0.0,2021-11-07 21:00:00,285.98,284.94,285.98,285.98,1017,1017,1016,62,100,2.3,285,2.47,n,
1636329600,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",10000,0.0,2021-11-08 00:00:00,285.42,284.32,285.42,285.42,1016,1016,1015,62,80,0.23,266,0.36,n,
1636340400,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",10000,0.0,2021-11-08 03:00:00,284.57,283.52,284.57,284.57,1015,1015,1015,67,70,2.02,305,2.0,n,
1636351200,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",10000,0.0,2021-11-08 06:00:00,284.34,283.26,284.34,284.34,1015,1015,1015,67,79,0.52,318,0.88,d,
1636362000,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",10000,0.0,2021-11-08 09:00:00,286.32,285.36,286.32,286.32,1016,1016,1016,64,75,0.96,9,1.05,d,
1636372800,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",10000,0.0,2021-11-08 12:00:00,288.28,287.62,288.28,288.28,1016,1016,1015,68,84,3.85,29,4.43,d,
1636383600,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",10000,0.08,2021-11-08 15:00:00,286.6,285.85,286.6,286.6,1016,1016,1016,71,82,6.71,53,9.36,d,
1636394400,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",10000,0.16,2021-11-08 18:00:00,285.63,284.76,285.63,285.63,1018,1018,1018,70,91,6.83,63,10.06,n,
1636405200,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",10000,0.17,2021-11-08 21:00:00,284.78,283.85,284.78,284.78,1019,1019,1018,71,73,6.55,55,11.13,n,
1636416000,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",10000,0.14,2021-11-09 00:00:00,284.5,283.52,284.5,284.5,1020,1020,1019,70,56,7.6,55,12.9,n,
1636426800,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",10000,0.05,2021-11-09 03:00:00,283.37,282.41,283.37,283.37,1020,1020,1020,75,38,6.02,47,10.64,n,
1636437600,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",10000,0.04,2021-11-09 06:00:00,282.95,279.82,282.95,282.95,1022,1022,1022,71,57,7.04,44,11.42,n,
1636448400,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",10000,0.02,2021-11-09 09:00:00,285.02,283.96,285.02,285.02,1024,1024,1023,65,4,8.26,53,12.69,d,
1636459200,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",10000,0.01,2021-11-09 12:00:00,287.2,286.04,287.2,287.2,1024,1024,1023,53,2,8.35,51,11.0,d,
1636470000,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",10000,0.0,2021-11-09 15:00:00,286.62,285.51,286.62,286.62,1024,1024,1023,57,2,6.83,57,9.17,d,
1636480800,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",10000,0.0,2021-11-09 18:00:00,284.6,283.47,284.6,284.6,1025,1025,1025,64,2,6.94,67,9.59,n,
1636491600,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",10000,0.0,2021-11-09 21:00:00,283.14,280.37,283.14,283.14,1026,1026,1025,69,0,6.02,55,9.35,n,
1636502400,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",10000,0.0,2021-11-10 00:00:00,281.98,279.42,281.98,281.98,1025,1025,1025,69,2,4.64,46,6.8,n,
1636513200,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",10000,0.04,2021-11-10 03:00:00,281.99,279.66,281.99,281.99,1025,1025,1025,69,48,4.15,23,5.36,n,
